и	ˈi
возить	vʌʑˈitʲ
удочка	ˈudʌtʃʲka
скумбрия	skˈumbrʲija
тунец	tunʲˈets
кальдер	kaɭʲdʲˈer
драконы	drakˈony
умбра	ˈumbra
хронар	xrˈonʌr
даров	darˈof
зовётся	zʌvʲˈɵtsʌ
выгодно	vˈyɡʌdnʌ
вёрсты	vʲˈɵrsty
берегов	bʲirʲiɡˈof
кузнечная	kuʑnʲˈetʃʲnʌja
пещере	pʲiɕˈerʲi
град	ɡrˈɑt
зола	zʌɭˈɑ
солома	sʌɭˈoma
полу	pˈoɭu
восемнадцати	vʌsʲimnˈɑttsʌtʲɪ
пятая	pʲˈɑtʌja
ярусом	ˈjarusʌm
низко	nʲˈiskʌ
сокрушительный	sʌkruʃˈytʲiɭʲnyj
изучение	ɪzutʃʲˈenʲijɪ
появляются	pʌjavɭʲˈɑjutsʌ
прибавляют	prʲibavɭʲˈɑjut
сундуках	sundukˈɑx
лечат	ɭʲˈetʃʲʌt
лежанка	ɭʲiʒˈɑnka
грибница	ɡrʲibnʲˈitsa
требуют	trʲˈebujut
двести	dvʲˈesʲtʲɪ
авторы	ˈɑftʌry
череп	tʃʲˈerʲip
угол	ˈuɡʌɭ
тратит	trˈɑtʲit
частота	tʃʲʌstʌtˈɑ
источников	ɪstˈotʃʲnʲikʌf
зала	zˈɑɭa
феи	fʲˈeɪ
пегасы	pʲiɡˈɑsy
поднялись	pʌdnʲaɭʲˈisʲ
кончится	kˈontʃʲitsʌ
достают	dʌstaˈjut
ясный	ˈjasnyj
дозоры	dʌzˈory
одинаковых	ʌdʲinˈɑkʌvyx
выгоднее	vˈyɡʌdnʲijɪ
промысла	prˈomysɭa
трети	trʲˈetʲɪ
рощ	rˈoɕ
чьи	tʃʲjˈɪ
скакуны	skʌkunˈy
именное	ɪmʲinnˈojɪ
жильная	ʒˈyɭʲnʌja
обратная	ʌbrˈɑtnʌja
дети	dʲˈetʲɪ
плотнее	pɭʌtʲnʲˈejɪ
единственные	jɪdʲˈinstvʲinnyjɪ
сотом	sˈotʌm
сотого	sˈotʌvʌ
глубиной	ɡɭubʲinˈoj
прибавляется	prʲibavɭʲˈɑjitsʌ
находок	naxˈodʌk
плечом	pɭʲitʃʲˈom
разного	rˈɑznʌvʌ
записывается	zapʲˈisyvʌjitsʌ
столица	stʌɭʲˈitsa
отступник	ʌtstˈupnʲik
здоровьем	zdʌrˈovjjim
букву	bˈukvu
содержание	sʌdʲirʒˈɑnʲijɪ
недород	nʲidʌrˈot
руднике	rudnʲikʲˈe
товаров	tʌvˈɑrʌf
пожар	pʌʒˈɑr
магическое	maɡʲˈitʃʲiskʌjɪ
направлению	nʌpravɭʲˈenʲiju
пороге	pʌrˈoɡʲi
мёртвым	mʲˈɵrtvym
оказывается	ʌkˈɑzyvʌjitsʌ
камер	kˈɑmʲir
пустым	pustˈym
гуще	ɡˈuɕi
действуют	dʲˈejstvujut
ключник	kɭʲˈutʃʲnʲik
сотворить	sʌtvʌrʲˈitʲ
учебник	utʃʲˈebnʲik
переплёт	pʲirʲipɭʲˈɵt
прячут	prʲˈɑtʃʲut
бумагу	bumˈɑɡu
видна	vʲidnˈɑ
штольню	ʃtˈoɭʲnʲu
названо	nˈɑzvʌnʌ
самих	samʲˈix
дипломатии	dʲipɭʌmˈɑtʲiɪ
подать	pʌdˈɑtʲ
глашатай	ɡɭaʃˈɑtʌj
сданные	zdˈɑnnyjɪ
доказательство	dʌkazˈɑtʲiɭʲstvʌ
иметь	ɪmʲˈetʲ
семени	sʲˈemʲinʲɪ
молния	mˈoɭnʲija
артефакторика	artʲifˈɑktʌrʲika
нашлось	naʃɭˈosʲ
прочего	prˈotʃʲivʌ
перезарядки	pʲirʲizarʲˈɑtkʲɪ
носителей	nʌsʲˈitʲiɭʲij
заряжают	zʌrʲaʒˈɑjut
малое	mˈɑɭʌjɪ
отбор	ʌdbˈor
телу	tʲˈeɭu
дыхания	dyxˈɑnʲija
эмбарго	ɛmbˈɑrɡʌ
перемирие	pʲirʲimʲˈirʲijɪ
дошла	dʌʃɭˈɑ
сложено	sɭˈoʒynʌ
шипит	ʃypʲˈit
наспех	nˈɑspʲix
качеством	kˈɑtʃʲistvʌm
архив	arxˈif
восстановлено	vʌsstanˈovɭʲinʌ
тактов	tˈɑktʌf
родство	rʌtstvˈo
развеивание	rʌzvʲiˈivʌnʲijɪ
луч	ɭˈutʃʲ
купол	kˈupʌɭ
тесно	tʲˈesnʌ
буква	bˈukva
запроса	zaprˈosa
культура	kuɭʲtˈura
районов	rajˈonʌf
подземных	pʌdʲʑˈemnyx
древнее	drʲivnʲˈejɪ
припасов	prʲipˈɑsʌf
жреца	ʒrʲitsˈɑ
напротив	naprˈotʲif
поставщик	pʌstafɕˈik
выполнено	vˈypʌɭnʲinʌ
неизвестное	nʲiizvʲˈesnʌjɪ
мифрил	mʲifrʲˈiɭ
вырос	vˈyrʌs
тропе	trʌpʲˈe
примете	prʲimʲˈetʲi
запомнят	zapˈomnʲʌt
комплексов	kˈompɭʲiksʌf
кровотечение	krʌvʌtʲitʃʲˈenʲijɪ
ран	rˈɑn
что-нибудь	ʃtonʲibˈutʲ
порядке	pʌrʲˈɑtkʲi
прародителей	prʌrʌdʲˈitʲiɭʲij
полурослики	pʌɭurˈosɭʲikʲɪ
зиму	ʑˈimu
севера	sʲˈevʲira
сход	sxˈot
родит	rʌdʲˈit
рельефу	rʲiɭjjˈefu
лесной	ɭʲisnˈoj
горная	ɡˈornʌja
проходят	prʌxˈodʲʌt
сходит	sxˈodʲit
расстояния	rʌsstʌˈjanʲija
ощупь	ˈoɕupʲ
морю	mˈorʲu
древней	drʲˈevnʲij
соперника	sʌpʲˈernʲika
века	vʲˈeka
свечи	svʲˈetʃʲɪ
взяла	vʑaɭˈɑ
ударил	udˈɑrʲiɭ
затопленных	zatˈopɭʲinnyx
пала	pˈɑɭa
проходы	prʌxˈody
мороз	mʌrˈos
убитой	ubʲˈitʌj
пряжа	prʲˈɑʒa
заготовка	zʌɡʌtˈofka
держим	dʲˈerʒym
учесть	utʃʲˈestʲ
следующего	sɭʲˈedujuɕivʌ
разбитая	razbʲˈitʌja
кормится	kˈormʲitsʌ
гостя	ɡˈosʲtʲʌ
серп	sʲˈerp
прегр	prʲˈeɡr
дворе	dvʌrʲˈe
крышка	krˈyʃka
трон	trˈon
донный	dˈonnyj
крупнее	krupnʲˈejɪ
тёплое	tʲˈɵpɭʌjɪ
светится	svʲˈetʲitsʌ
лодки	ɭˈotkʲɪ
ор	ˈor
огни	ʌɡnʲˈɪ
отдали	ʌddˈɑɭʲɪ
пускают	puskˈɑjut
нас	nˈɑs
сорта	sˈorta
магических	maɡʲˈitʃʲiskʲix
годная	ɡˈodnʌja
настой	nastˈoj
грибов	ɡrʲibˈof
растений	rasʲtʲˈenʲij
почва	pˈotʃʲva
алхимик	aɭxˈimʲik
ел	jˈeɭ
затопленный	zatˈopɭʲinnyj
ветхость	vʲˈetxʌstʲ
главная	ɡɭˈɑvnʌja
сын	sˈyn
дочь	dˈotʃʲ
силе	sʲˈiɭʲi
читали	tʃʲitˈɑɭʲɪ
занят	zˈɑnʲʌt
нарушил	narˈuʃyɭ
пок	pˈok
колено	kʌɭʲˈenʌ
договориться	dʌɡʌvʌrʲˈitsʌ
терпение	tʲirpʲˈenʲijɪ
положено	pʌɭˈoʒynʌ
восстановить	vʌsstʌnʌvʲˈitʲ
целы	tsˈɛɭy
коридор	kʌrʲidˈor
велит	vʲiɭʲˈit
речной	rʲitʃʲnˈoj
зимы	ʑˈimy
сделанное	ʑdʲˈeɭʌnnʌjɪ
круге	krˈuɡʲi
показывают	pʌkˈɑzyvʌjut
примет	prʲimʲˈet
ставили	stˈɑvʲiɭʲɪ
свитка	svʲˈitka
пятых	pʲˈɑtyx
выучено	vˈyutʃʲinʌ
перебрать	pʲirʲibrˈɑtʲ
полку	pˈoɭku
изгнать	ɪzɡnˈɑtʲ
пола	pˈoɭa
скрытый	skrˈytyj
техники	tʲˈexnʲikʲɪ
рецептов	rʲitsˈɛptʌf
расход	rasxˈot
од	ˈot
битые	bʲˈityjɪ
баз	bˈɑs
именованный	ɪmʲinˈovʌnnyj
трактиров	traktʲˈirʌf
жалует	ʒˈɑɭujit
рощи	rˈoɕɪ
приставка	prʲistˈɑfka
порчаход	pʌrtʃʲaxˈot
ид	ˈɪt
павший	pˈɑfʃyj
гдеискать	ɡdʲiiskˈɑtʲ
лиц	ɭʲˈits
полков	pʌɭkˈof
улучшений	uɭutʃˈɛnʲij
боевая	bʌjivˈɑja
противника	prʌtʲˈivnʲika
даль	dˈɑlʲ
простая	prʌstˈɑja
разговоре	rʌzɡʌvˈorʲi
коза	kʌzˈɑ
началу	natʃʲˈɑɭu
слушаются	sɭˈuʃʌjutsʌ
чтец	tʃʲtʲˈets
объявления	ʌbjjavɭʲˈenʲija
запросу	zaprˈosu
прерывается	prʲiryvˈɑjitsʌ
перебивает	pʲirʲibʲivˈɑjit
окружения	ʌkruʒˈɛnʲija
лицом	ɭʲitsˈom
ощупывания	ʌɕˈupyvʌnʲija
незрячих	nʲizrʲˈɑtʃʲix
умолчания	umʌɭtʃʲˈɑnʲija
спокойные	spʌkˈojnyjɪ
выгрузка	vˈyɡruska
лицензией	ɭʲitsˈɛnʑijij
автосохранение	aftʌsʌxranʲˈenʲijɪ
легендарные	ɭʲiɡʲindˈɑrnyjɪ
производственная	prʌizvˈotstvʲinnʌja
династии	dʲinˈɑsʲtʲiɪ
комплексы	kˈompɭʲiksy
отголоски	ʌdɡʌɭˈoskʲɪ
аномальная	anʌmˈɑɭʲnʌja
качеств	kˈɑtʃʲistf
озвучиваются	ʌzvˈutʃʲivʌjutsʌ
каналов	kanˈɑɭʌf
успевает	uspʲivˈɑjit
ключу	kɭʲutʃʲˈu
роняет	rʌnʲˈɑjit
выполняется	vypʌɭnʲˈɑjitsʌ
снимается	sʲnʲimˈɑjitsʌ
подтверждение	pʌdtvʲirʒdʲˈenʲijɪ
крупная	krˈupnʌja
обновляется	ʌbnʌvɭʲˈɑjitsʌ
услышит	usɭˈyʃyt
новости	nˈovʌsʲtʲɪ
оркестра	ʌrkʲˈestra
уход	uxˈot
сказанное	skˈɑzʌnnʌjɪ
достаётся	dʌstaˈɵtsʌ
замолкает	zʌmʌɭkˈɑjit
кладётся	kɭadʲˈɵtsʌ
играть	ɪɡrˈɑtʲ
фразы	frˈɑzy
исходе	ɪsxˈodʲi
скажут	skˈɑʒut
реплик	rʲˈepɭʲik
следит	sɭʲidʲˈit
игроком	ɪɡrʌkˈom
вернувшись	vʲirnˈufʃysʲ
повторять	pʌftʌrʲˈɑtʲ
искажение	ɪskaʒˈɛnʲijɪ
деревянный	dʲirʲivʲˈɑnnyj
вспышка	fspˈyʃka
крыльев	krˈyɭjjif
крупного	krˈupnʌvʌ
потусторонний	pʌtustʌrˈonnʲij
строит	strˈoit
вороте	vˈorʌtʲi
рядов	rʲadˈof
оседает	ʌsʲidˈɑjit
защитный	zaɕˈitnyj
существа	suɕistvˈɑ
тролль	trˈoɭlʲ
василиск	vʌsʲiɭʲˈisk
холодное	xʌɭˈodnʌjɪ
песчаный	pʲiɕˈɑnyj
попадание	pʌpadˈɑnʲijɪ
сова	sʌvˈɑ
ворон	vˈorʌn
руде	rudʲˈe
перезвон	pʲirʲizvˈon
короткая	kʌrˈotkʌja
снаряжения	snʌrʲaʒˈɛnʲija
мягкий	mʲˈɑxkʲij
казарма	kazˈɑrma
птица	ptʲˈitsa
полторы	pʌɭtʌrˈy
запасным	zʌpasnˈym
полных	pˈoɭnyx
предков	prʲˈetkʌf
сумеречный	sˈumʲirʲitʃʲnyj
кончилось	kˈontʃʲiɭʌsʲ
провалено	prʌvˈɑɭʲinʌ
полевой	pʌɭʲivˈoj
клавиши	kɭˈɑvʲiʃy
широкие	ʃyrˈokʲijɪ
переживает	pʲirʲiʒyvˈɑjit
уникальный	unʲikˈɑɭʲnyj
действительно	dʲijstvʲˈitʲiɭʲnʌ
цепью	tsˈɛpjju
железа	ʒyɭʲˈeza
жилой	ʒˈyɭʌj
инструмента	ɪnstrumʲˈenta
правителя	pravʲˈitʲiɭʲʌ
листве	ɭʲistvʲˈe
шорох	ʃˈorʌx
судьба	sudʲbˈɑ
стройка	strˈojka
папок	pˈɑpʌk
перестал	pʲirʲistˈɑɭ
свайпов	svˈɑjpʌf
рой	rˈoj
всплеск	fspɭʲˈesk
строится	strˈoitsʌ
устроена	ustrˈojina
свободных	svʌbˈodnyx
игр	ˈɪɡr
дано	danˈo
кладки	kɭˈɑtkʲɪ
лежать	ɭʲiʒˈɑtʲ
состоит	sʌstʌˈit
услышал	usɭˈyʃʌɭ
довод	dˈovʌt
обходит	ʌpxˈodʲit
руководства	rukʌvˈotstva
отвечать	ʌtvʲitʃʲˈɑtʲ
правки	prˈɑfkʲɪ
полю	pˈoɭʲu
выбранным	vˈybrʌnnym
свайпам	svˈɑjpʌm
фигур	fʲiɡˈur
команду	kʌmˈɑndu
творится	tvʌrʲˈitsʌ
игровом	ɪɡrʌvˈom
сетью	sʲˈetʲjju
ближайшее	bɭʲiʒˈɑjʃyjɪ
восьмой	vʌsʲmˈoj
молчал	mʌɭtʃʲˈɑɭ
назвала	nʌzvaɭˈɑ
опустился	ʌpusʲtʲˈiɭsʲʌ
нужного	nˈuʒnʌvʌ
полежавший	pʌɭʲiʒˈɑfʃyj
соседняя	sʌsʲˈednʲʌja
прежней	prʲˈeʒnʲij
стекла	sʲtʲˈekɭa
ведение	vʲidʲˈenʲijɪ
делали	dʲˈeɭʌɭʲɪ
начнёт	natʃʲnʲˈɵt
уступает	ustupˈɑjit
назначенный	naznˈɑtʃʲinnyj
ниоткуда	nʲiʌtkˈuda
считали	ɕitˈɑɭʲɪ
счётная	ɕˈɵtnʌja
разбирают	rʌzbʲirˈɑjut
смыслу	smˈysɭu
десятков	dʲisʲˈɑtkʌf
относятся	ʌtnˈosʲʌtsʌ
позвать	pʌzvˈɑtʲ
семью	sʲimʲjˈju
поглотить	pʌɡɭʌtʲˈitʲ
сроки	srˈokʲɪ
отказом	ʌtkˈɑzʌm
недоступно	nʲidʌstˈupnʌ
старых	stˈɑryx
строке	strʌkʲˈe
висят	vʲisʲˈɑt
проигрывает	prʌˈiɡryvʌjit
стужи	stˈuʒy
уровнем	ˈurʌvnʲim
ступенями	stupʲˈenʲʌmʲɪ
продажи	prʌdˈɑʒy
доносится	dʌnˈosʲitsʌ
насмерть	nˈɑsmʲirtʲ
взлом	vzɭˈom
поставка	pʌstˈɑfka
сдвигают	zdvʲiɡˈɑjut
покровителя	pʌkrʌvʲˈitʲiɭʲʌ
вербовщик	vʲirbˈofɕik
втридорога	ftrʲˈidʌrʌɡa
наём	naˈɵm
засады	zasˈɑdy
трюме	trʲˈumʲi
довезти	dʌvʲisʲtʲˈɪ
киля	kʲˈiɭʲʌ
бегство	bʲˈekstvʌ
записаны	zapʲˈisʌny
делаются	dʲˈeɭʌjutsʌ
салака	saɭˈɑka
приносит	prʲinˈosʲit
морах	mˈorʌx
сны	snˈy
бывают	byvˈɑjut
киркой	kʲirkˈoj
перекрёстки	pʲirʲikrʲˈɵstkʲɪ
ближние	bɭʲˈiʒnʲijɪ
связывает	svʲˈɑzyvʌjit
найденные	nˈɑjdʲinnyjɪ
скидку	skʲˈitku
сняли	sʲnʲˈɑɭʲɪ
сквозняком	skvʌʑnʲakˈom
сухим	suxˈim
треском	trʲˈeskʌm
вестник	vʲˈesnʲik
рассыпается	rʌssypˈɑjitsʌ
поднявшись	pʌdnʲˈɑfʃysʲ
сели	sʲˈeɭʲɪ
мрамор	mrˈɑmʌr
ярусами	ˈjarusʌmʲɪ
понятно	pʌnʲˈɑtnʌ
слабый	sɭˈɑbyj
носители	nʌsʲˈitʲiɭʲɪ
навыков	nˈɑvykʌf
архивы	arxˈivy
вчетверо	ftʃʲˈetvʲirʌ
обрывки	ʌbrˈyfkʲɪ
садятся	sadʲˈɑtsʌ
шагнули	ʃaɡnˈuɭʲɪ
лечебные	ɭʲitʃʲˈebnyjɪ
тянут	tʲˈɑnut
слышимости	sɭˈyʃymʌsʲtʲɪ
спускаются	spuskˈɑjutsʌ
могут	mˌoɡut
пегасов	pʲiɡˈɑsʌf
аракокр	arˈɑkʌkr
клин	kɭʲˈin
вершине	vʲirʃˈynʲi
годам	ɡʌdˈɑm
ледяные	ɭʲidʲanˈyjɪ
исцелению	ɪstsyɭʲˈenʲiju
дождю	dʌʒdʲˈu
тишине	tʲiʃynʲˈe
чужому	tʃʲuʒˈomu
рудой	rudˈoj
кузнечный	kuʑnʲˈetʃʲnyj
подмастерье	pʌdmasʲtʲˈerɪjjɪ
предыдущей	prʲidydˈuɕij
переносит	pʲirʲinˈosʲit
поручений	pʌrutʃʲˈenʲij
клинком	kɭʲinkˈom
скрывает	skryvˈɑjit
войдёте	vʌjdʲˈɵtʲi
вдовы	vdˈovy
прочитанных	prʌtʃʲˈitʌnnyx
кровавый	krʌvˈɑvyj
тлеющий	tɭʲˈejuɕij
именами	ɪmʲinˈɑmʲɪ
поход	pʌxˈot
верхние	vʲˈerxnʲijɪ
кристальные	krʲistˈɑɭʲnyjɪ
карманы	karmˈɑny
штолен	ʃtˈoɭʲin
исполин	ɪspʌɭʲˈin
двадцатого	dvattsˈɑtʌvʌ
жадность	ʒˈɑdnʌstʲ
самоцветы	sʌmʌtsvʲˈety
выпадет	vˈypʌdʲit
ямы	ˈjamy
связка	svʲˈɑska
случайный	sɭutʃʲˈɑjnyj
картой	kˈɑrtʌj
временное	vrʲimʲˈennʌjɪ
часам	tʃʲasˈɑm
ничто	nʲiʃtˈo
наледь	nˈɑɭʲitʲ
проступает	prʌstupˈɑjit
криво	krʲˈivʌ
расположение	rʌspʌɭʌʒˈɛnʲijɪ
мечом	mʲitʃʲˈom
снят	sʲnʲˈɑt
правилам	prˈɑvʲiɭʌm
рудное	rˈudnʌjɪ
чертёж	tʃʲirtʲˈɵʃ
тайну	tˈɑjnu
классов	kɭˈɑssʌf
молятся	mˈoɭʲʌtsʌ
чинить	tʃʲinʲˈitʲ
наотрез	nʌʌtrʲˈes
тысячах	tˈysʲʌtʃʲʌx
торопит	tʌrˈopʲit
множителя	mnˈoʒytʲiɭʲʌ
полк	pˈoɭk
обозный	ʌbˈoznyj
проверено	prʌvʲˈerʲinʌ
отдельная	ʌdʲdʲˈeɭʲnʌja
остаток	ʌstˈɑtʌk
ломают	ɭʌmˈɑjut
плавильня	pɭavʲˈiɭʲnʲʌ
недостающее	nʲidʌstaˈjuɕijɪ
контрабанда	kʌntrabˈɑnda
улице	ˈuɭʲitsy
выносливость	vynˈosɭʲivʌstʲ
концентрация	kʌntsyntrˈɑtsyja
стабильность	stabʲˈiɭʲnʌstʲ
водное	vˈodnʌjɪ
подсказывает	pʌtskˈɑzyvʌjit
следствие	sɭʲˈetstvʲijɪ
набеги	nabʲˈeɡʲɪ
доброго	dˈobrʌvʌ
знакомые	znakˈomyjɪ
крой	krˈoj
неудачи	nʲiudˈɑtʃʲɪ
рангом	rˈɑnɡʌm
редкостей	rʲˈetkʌsʲtʲij
реестре	rʲijˈestrʲi
разрешение	rʌzrʲiʃˈɛnʲijɪ
округа	ʌkrˈuɡa
держитесь	dʲirʒˈytʲisʲ
якоря	jakˈorʲʌ
розни	rˈoʑnʲɪ
изо	ˈɪzʌ
разломный	razɭˈomnyj
чуйка	tʃʲˈujka
лоза	ɭʌzˈɑ
осей	ʌsʲˈej
крепнет	krʲˈepnʲit
бродячих	brʌdʲˈɑtʃʲix
собранное	sˈobrʌnnʌjɪ
суточный	sˈutʌtʃʲnyj
фаз	fˈɑs
бежать	bʲiʒˈɑtʲ
боссов	bˈossʌf
округи	ʌkrˈuɡʲɪ
светом	svʲˈetʌm
святилища	svʲatʲˈiɭʲiɕʌ
множители	mnˈoʒytʲiɭʲɪ
отданное	ˈoddʌnnʌjɪ
собран	sˈobrʌn
иллюзии	ɪɭɭʲˈuʑiɪ
разойтись	rʌzʌjtʲˈisʲ
свести	svʲisʲtʲˈɪ
маскировка	mʌskʲirˈofka
мелко	mʲˈeɭkʌ
ремесленная	rʲimʲˈesɭʲinnʌja
называются	nʌzyvˈɑjutsʌ
звали	zvˈɑɭʲɪ
спускается	spuskˈɑjitsʌ
подгорного	pʌdɡˈornʌvʌ
камеры	kˈɑmʲiry
прятали	prʲˈɑtʌɭʲɪ
пришлые	prʲˈiʃɭyjɪ
закрываются	zʌkryvˈɑjutsʌ
добывают	dʌbyvˈɑjut
отряд	ʌtrʲˈɑt
прибыль	prʲˈibylʲ
доставка	dʌstˈɑfka
исследование	ɪssɭʲˈedʌvʌnʲijɪ
охоты	ʌxˈoty
шахтёр-исследователь	ʃaxtʲˈɵrɪssɭʲˈedʌvʌtʲilʲ
столом	stʌɭˈom
человеку	tʃʲiɭʌvʲˈeku
молитвы	mʌɭʲˈitvy
шума	ʃˈuma
воротах	vʌrˈotʌx
восьмую	vʌsʲmˈuju
башен	bˈɑʃyn
выросла	vˈyrʌsɭa
джинны	dʒˈynny
летом	ɭʲˈetʌm
племён	pɭʲimʲˈɵn
троп	trˈop
поколение	pʌkʌɭʲˈenʲijɪ
семена	sʲimʲinˈɑ
горнов	ɡˈornʌf
тихие	tʲˈixijɪ
векселя	vʲiksʲˈeɭʲʌ
вер	vʲˈer
когда-то	kʌɡdˈɑtʌ
точнее	tʌtʃʲnʲˈejɪ
переправы	pʲirʲiprˈɑvy
карст	kˈɑrst
имеют	ɪmʲˈejut
портала	pʌrtˈɑɭa
граница	ɡranʲˈitsa
поднял	pˈodnʲʌɭ
багряный	baɡrʲˈɑnyj
зелёный	ʑiɭʲˈɵnyj
ауриса	aˈurʲisa
недра	nʲˈedra
квадрат	kvadrˈɑt
трактах	trˈɑktʌx
покупают	pʌkupˈɑjut
стаи	stˈɑɪ
раса	rˈɑsa
оставила	ʌstˈɑvʲiɭa
крылатый	kryɭˈɑtyj
письма	pʲˈisʲma
нужды	nˈuʒdy
ковка	kˈofka
служат	sɭˈuʒʌt
дописать	dʌpʲisˈɑtʲ
теряют	tʲirʲˈɑjut
впадина	fpˈɑdʲina
сгорело	zɡʌrʲˈeɭʌ
шлифованная	ʃɭʲifʌvˈɑnnʌja
вываренная	vˈyvʌrʲinnʌja
жемчужница	ʒymtʃʲˈuʒnʲitsa
объявляют	ʌbjjavɭʲˈɑjut
самая	sˈɑmʌja
скидка	skʲˈitka
покупка	pʌkˈupka
новичок	nʌvʲitʃʲˈok
страже	strˈɑʒy
зданий	zdˈɑnʲij
везут	vʲizˈut
осаде	ʌsˈɑdʲi
период	pʲirʲˈiʌt
набат	nabˈɑt
подниматься	pʌdnʲimˈɑtsʌ
воздушный	vʌzdˈuʃnyj
обет	ʌbʲˈet
поставлена	pʌstˈɑvɭʲina
стенам	sʲtʲˈenʌm
пору	pˈoru
давление	davɭʲˈenʲijɪ
попало	pʌpˈɑɭʌ
работой	rabˈotʌj
предмета	prʲidmʲˈeta
корабля	kʌrabɭʲˈɑ
партия	pˈɑrtʲija
рыболовная	rybʌɭˈovnʌja
помнил	pˈomnʲiɭ
поселения	pʌsʲiɭʲˈenʲija
нише	nʲˈiʃy
водный	vˈodnyj
пополнен	pʌpˈoɭnʲin
нити	nʲˈitʲɪ
звёздоцвет	zvʲˈɵzdʌtsvʲit
теневой	tʲinʲivˈoj
ствол	stvˈoɭ
жильный	ʒˈyɭʲnyj
ниш	nʲˈiʃ
тяжести	tʲˈɑʒysʲtʲɪ
чёрном	tʃʲˈɵrnʌm
корней	kʌrnʲˈej
охотно	ʌxˈotnʌ
подмены	pʌdmʲˈeny
проверяют	prʌvʲirʲˈɑjut
охотники	ʌxˈotʲnʲikʲɪ
мёд	mʲˈɵt
вчера	ftʃʲirˈɑ
дышать	dyʃˈɑtʲ
пить	pʲˈitʲ
забывают	zʌbyvˈɑjut
инженер	ɪnʒynʲˈer
убил	ubʲˈiɭ
бриф	brʲˈif
съел	sjjˈeɭ
знакомы	znakˈomy
орг	ˈork
откроет	ʌtkrˈojit
разлому	razɭˈomu
выбора	vˈybʌra
проницательность	prʌnʲitsˈɑtʲiɭʲnʌstʲ
вполголоса	fpʌɭɡˈoɭʌsa
полчаса	pʌɭtʃʲasˈɑ
такую	takˈuju
возвращайтесь	vʌzvraɕˈɑjtʲisʲ
мостовщик	mʌstʌfɕˈik
ближ	bɭʲˈiʃ
читал	tʃʲitˈɑɭ
запомнил	zapˈomnʲiɭ
обошли	ʌbʌʃɭʲˈɪ
забрали	zabrˈɑɭʲɪ
свежие	svʲˈeʒyjɪ
сорвалась	sʌrvaɭˈɑsʲ
песню	pʲˈesʲnʲu
чей-то	tʃʲˈejtˈo
хватит	xvˈɑtʲit
живым	ʒyvˈym
полок	pʌɭˈok
блеска	bɭʲˈeska
старьёвщик	stʌrɪjˈɵfɕik
способа	spˈosʌba
цех	tsˈɛx
веществ	vʲiɕˈestf
целая	tsˈɛɭʌja
